"","ASV","Count","rel_abun","Family","Host","Total"
"A. koa.1","ASV1007",2453,1.07385664692311,"Claroideoglomeraceae_core","A. koa",200092
"A. koa.2","ASV1038",95,0.0415884147809604,"Archaeosporaceae_core","A. koa",200092
"A. koa.3","ASV1135",549,0.240337260155234,"Archaeosporaceae_core","A. koa",200092
"A. koa.4","ASV1155",79,0.0345840501862723,"Archaeosporaceae_core","A. koa",200092
"A. koa.5","ASV1175",1237,0.541524937726821,"Archaeosporaceae","A. koa",200092
"A. koa.6","ASV1176",3787,1.65784554500523,"Archaeosporaceae_core","A. koa",200092
"A. koa.7","ASV1189",6141,2.68836268599871,"Archaeosporaceae_core","A. koa",200092
"A. koa.8","ASV1195",3071,1.34440022939294,"Archaeosporaceae","A. koa",200092
"A. koa.9","ASV1197",15,0.00656659180752006,"Archaeosporaceae","A. koa",200092
"A. koa.10","ASV1199",101,0.0442150515039684,"Archaeosporaceae_core","A. koa",200092
"A. koa.11","ASV1228",54,0.0236397305070722,"Archaeosporaceae","A. koa",200092
"A. koa.12","ASV1233",311,0.136147336809249,"Archaeosporaceae_core","A. koa",200092
"A. koa.13","ASV1240",342,0.149718293211457,"Archaeosporaceae","A. koa",200092
"A. koa.14","ASV1250",78,0.0341462773991043,"Archaeosporaceae","A. koa",200092
"A. koa.15","ASV1256",236,0.103314377771649,"Archaeosporaceae","A. koa",200092
"A. koa.16","ASV1259",27,0.0118198652535361,"Archaeosporaceae","A. koa",200092
"A. koa.17","ASV1268",220,0.0963100131769609,"Archaeosporaceae","A. koa",200092
"A. koa.18","ASV1271",601,0.26310144508797,"Archaeosporaceae","A. koa",200092
"A. koa.19","ASV1272",798,0.349342684160067,"Archaeosporaceae","A. koa",200092
"A. koa.20","ASV1400",1568,0.68642773027943,"Glomeraceae","A. koa",200092
"A. koa.21","ASV1428",18997,8.31636963783057,"Glomeraceae_core","A. koa",200092
"A. koa.22","ASV1460",557,0.243839442452578,"Glomeraceae","A. koa",200092
"A. koa.23","ASV1468",5669,2.48173393045542,"Glomeraceae","A. koa",200092
"A. koa.24","ASV1476",2890,1.26516335491553,"Glomeraceae","A. koa",200092
