"","ASV","Count","rel_abun","Family","Host","Total"
"A. koa.1","ASV1007",2453,1.23067197800544,"Claroideoglomeraceae_core","A. koa",215066
"A. koa.2","ASV1015",798,0.400357210945104,"Claroideoglomeraceae_core","A. koa",215066
"A. koa.3","ASV1038",95,0.04766157273156,"Archaeosporaceae_core","A. koa",215066
"A. koa.4","ASV1047",28,0.0140476214366703,"Archaeosporaceae_core","A. koa",215066
"A. koa.5","ASV1052",11,0.00551870842154905,"Archaeosporaceae","A. koa",215066
"A. koa.6","ASV1056",40,0.0200680306238147,"Archaeosporaceae","A. koa",215066
"A. koa.7","ASV1057",41,0.0205697313894101,"Archaeosporaceae","A. koa",215066
"A. koa.8","ASV1102",42,0.0210714321550055,"Archaeosporaceae","A. koa",215066
"A. koa.9","ASV1103",49,0.024583337514173,"Archaeosporaceae","A. koa",215066
"A. koa.10","ASV1118",273,0.136964309007536,"Archaeosporaceae","A. koa",215066
"A. koa.11","ASV112",7,0.00351190535916758,"Glomeraceae_core","A. koa",215066
"A. koa.12","ASV1121",77,0.0386309589508434,"Archaeosporaceae_core","A. koa",215066
"A. koa.13","ASV1130",1,0.000501700765595368,"Archaeosporaceae","A. koa",215066
"A. koa.14","ASV1131",42,0.0210714321550055,"Archaeosporaceae","A. koa",215066
"A. koa.15","ASV1135",549,0.275433720311857,"Archaeosporaceae_core","A. koa",215066
"A. koa.16","ASV1155",79,0.0396343604820341,"Archaeosporaceae_core","A. koa",215066
"A. koa.17","ASV1157",58,0.0290986444045314,"Archaeosporaceae_core","A. koa",215066
"A. koa.18","ASV1175",1237,0.620603847041471,"Archaeosporaceae_core","A. koa",215066
"A. koa.19","ASV1176",3787,1.89994079930966,"Archaeosporaceae_core","A. koa",215066
"A. koa.20","ASV1183",9,0.00451530689035832,"Archaeosporaceae","A. koa",215066
"A. koa.21","ASV1184",34,0.0170578260302425,"Archaeosporaceae_core","A. koa",215066
"A. koa.22","ASV1189",6141,3.08094440152116,"Archaeosporaceae_core","A. koa",215066
"A. koa.23","ASV1195",3071,1.54072305114338,"Archaeosporaceae_core","A. koa",215066
"A. koa.24","ASV1197",15,0.00752551148393052,"Archaeosporaceae_core","A. koa",215066
"A. koa.25","ASV1199",101,0.0506717773251322,"Archaeosporaceae_core","A. koa",215066
"A. koa.26","ASV1204",21,0.0105357160775027,"Archaeosporaceae_core","A. koa",215066
"A. koa.27","ASV1207",40,0.0200680306238147,"Archaeosporaceae_core","A. koa",215066
"A. koa.28","ASV1208",113,0.0566921865122766,"Archaeosporaceae_core","A. koa",215066
"A. koa.29","ASV1215",87,0.043647966606797,"Archaeosporaceae","A. koa",215066
"A. koa.30","ASV1217",9,0.00451530689035832,"Archaeosporaceae","A. koa",215066
"A. koa.31","ASV1223",28,0.0140476214366703,"Archaeosporaceae","A. koa",215066
"A. koa.32","ASV1228",54,0.0270918413421499,"Archaeosporaceae_core","A. koa",215066
"A. koa.33","ASV1231",9,0.00451530689035832,"Archaeosporaceae_core","A. koa",215066
"A. koa.34","ASV1233",311,0.15602893810016,"Archaeosporaceae_core","A. koa",215066
"A. koa.35","ASV1240",342,0.171581661833616,"Archaeosporaceae_core","A. koa",215066
"A. koa.36","ASV1243",113,0.0566921865122766,"Archaeosporaceae_core","A. koa",215066
