"","ASV","Count","rel_abun","Family","Host","Total"
"A. koa.1","ASV1026",27,0.0118198652535361,"Archaeosporaceae","A. koa",986
"A. koa.2","ASV1037",14,0.00612881902035206,"Archaeosporaceae","A. koa",986
"A. koa.3","ASV1070",2,0.000875545574336008,"Archaeosporaceae","A. koa",986
"A. koa.4","ASV1159",10,0.00437772787168004,"Archaeosporaceae","A. koa",986
"A. koa.5","ASV1171",16,0.00700436459468807,"Archaeosporaceae","A. koa",986
"A. koa.6","ASV1213",27,0.0118198652535361,"Archaeosporaceae","A. koa",986
"A. koa.7","ASV1229",10,0.00437772787168004,"Archaeosporaceae","A. koa",986
"A. koa.8","ASV1274",81,0.0354595957606083,"Archaeosporaceae","A. koa",986
"A. koa.9","ASV1299",6,0.00262663672300802,"Archaeosporaceae","A. koa",986
"A. koa.10","ASV1318",11,0.00481550065884805,"Archaeosporaceae","A. koa",986
"A. koa.11","ASV1411",6,0.00262663672300802,"Glomeraceae","A. koa",986
"A. koa.12","ASV1413",6,0.00262663672300802,"Glomeraceae","A. koa",986
"A. koa.13","ASV1415",2,0.000875545574336008,"Glomeraceae","A. koa",986
"A. koa.14","ASV1418",10,0.00437772787168004,"Glomeraceae","A. koa",986
"A. koa.15","ASV1440",6,0.00262663672300802,"Glomeraceae","A. koa",986
"A. koa.16","ASV1472",2,0.000875545574336008,"Glomeraceae","A. koa",986
"A. koa.17","ASV1511",4,0.00175109114867202,"Glomeraceae","A. koa",986
"A. koa.18","ASV1525",4,0.00175109114867202,"Glomeraceae","A. koa",986
"A. koa.19","ASV1572",2,0.000875545574336008,"Glomeraceae","A. koa",986
"A. koa.20","ASV1596",5,0.00218886393584002,"Glomeraceae","A. koa",986
"A. koa.21","ASV1602",5,0.00218886393584002,"Glomeraceae","A. koa",986
"A. koa.22","ASV1611",5,0.00218886393584002,"Glomeraceae","A. koa",986
"A. koa.23","ASV1613",2,0.000875545574336008,"Glomeraceae","A. koa",986
"A. koa.24","ASV1622",4,0.00175109114867202,"Glomeraceae","A. koa",986
