"","A. koa","C. trigynum","Grass","M. polymorpha","M. lessertiana","R. hawaiensis","Soil"
"ASV1000",0,1,0,0,0,0,0
"ASV1002",0,0,0,0,0,0,1
"ASV1003",0,1,0,0,0,0,0
"ASV1006",0,1,0,0,0,0,0
"ASV1008",0,0,0,0,0,0,1
"ASV1009",0,1,0,0,1,0,1
"ASV101",1,0,0,0,1,0,1
"ASV1010",0,0,0,0,0,0,1
"ASV1011",0,1,0,0,0,0,1
"ASV1013",1,1,0,0,0,0,1
"ASV1014",1,0,0,0,0,1,1
"ASV1015",0,0,0,0,0,0,1
"ASV1019",0,0,0,1,0,0,0
"ASV102",0,0,0,0,0,0,1
"ASV1020",0,0,1,0,0,0,1
"ASV1021",0,0,0,0,0,1,1
"ASV1022",0,0,1,0,0,0,0
"ASV1023",0,0,0,1,0,0,0
"ASV1024",0,0,0,0,1,0,0
"ASV1025",0,0,0,0,0,0,1
"ASV1026",0,0,0,0,1,0,0
"ASV1027",1,0,1,1,0,1,1
"ASV1028",0,0,0,0,0,0,1
"ASV1029",1,1,1,0,0,0,1
"ASV1030",0,1,0,0,0,0,0
"ASV1031",0,0,0,0,0,1,0
"ASV1034",0,0,0,0,0,0,1
"ASV1035",0,1,1,0,0,1,0
"ASV1036",0,0,0,0,0,0,1
"ASV1038",0,0,0,0,0,0,1
"ASV1039",1,1,0,0,0,0,1
"ASV1040",0,0,1,0,0,0,0
"ASV1041",0,0,1,0,0,0,0
"ASV1042",0,0,0,0,0,0,1
"ASV1043",1,1,1,1,1,1,1
"ASV1045",0,0,0,0,0,1,0
"ASV1047",0,0,0,0,0,0,1
"ASV105",0,0,0,0,0,0,1
"ASV1052",0,0,0,0,1,0,0
"ASV1053",0,0,0,0,1,0,0
"ASV1054",0,0,0,0,0,1,0
"ASV1056",0,0,0,0,0,0,1
"ASV1058",1,1,1,1,1,1,1
"ASV1059",0,1,0,1,1,1,1
"ASV1060",1,1,1,1,0,1,1
"ASV1062",1,0,0,0,0,0,0
"ASV1063",0,0,0,0,0,0,1
"ASV1064",0,0,0,0,0,1,0
"ASV1065",0,0,0,0,0,1,0
"ASV1066",0,1,0,0,0,1,1
"ASV1067",0,1,0,1,0,1,1
"ASV1068",0,0,0,0,0,0,1
"ASV1069",0,0,0,0,0,0,1
"ASV1070",0,0,0,0,0,0,1
"ASV1071",0,1,0,0,0,0,0
"ASV1072",0,1,0,1,0,1,1
"ASV1073",1,0,0,0,0,0,0
"ASV1074",0,1,1,1,1,0,0
"ASV1076",0,0,0,0,1,0,0
"ASV1077",1,1,1,1,1,1,1
"ASV1078",1,1,1,1,1,1,1
"ASV1080",0,1,0,0,0,0,0
"ASV1081",0,0,0,0,1,0,0
"ASV1082",0,0,0,0,1,0,0
"ASV1083",1,0,1,0,0,0,0
"ASV1084",1,1,1,1,1,1,0
"ASV1085",1,0,1,0,0,1,1
"ASV1086",1,0,1,1,0,1,1
"ASV1089",0,0,0,0,1,0,0
"ASV109",0,0,0,0,0,0,1
"ASV1090",1,1,1,1,1,1,1
"ASV1092",0,0,1,0,0,0,0
"ASV1095",0,0,0,0,0,0,1
"ASV1096",1,1,1,1,1,1,1
"ASV1097",0,0,0,0,1,0,0
"ASV1098",1,0,1,1,1,1,1
"ASV11",0,0,1,0,1,1,0
"ASV110",0,0,0,0,0,0,1
"ASV1100",1,1,1,1,1,1,1
"ASV1101",0,0,0,0,1,0,0
"ASV1104",1,1,1,0,1,0,0
"ASV1105",1,0,1,0,0,0,1
"ASV1106",0,0,1,0,0,0,0
"ASV1108",1,1,0,0,1,0,1
"ASV1109",1,0,1,0,0,0,1
"ASV111",0,0,0,1,0,0,1
"ASV1110",1,0,1,0,0,0,0
"ASV1111",0,0,0,0,0,0,1
"ASV1113",1,1,1,1,1,1,0
"ASV1114",1,0,0,0,0,0,0
"ASV1115",0,0,0,0,0,1,0
"ASV1116",1,0,0,0,0,0,1
"ASV1117",0,0,1,0,0,0,0
"ASV1118",1,1,0,0,0,0,1
"ASV1120",0,1,0,0,0,0,0
"ASV1121",0,0,0,0,0,0,1
"ASV1122",0,0,0,0,0,0,1
"ASV1123",0,0,0,0,0,0,1
"ASV1124",1,0,0,0,0,0,1
"ASV1125",0,0,0,0,0,0,1
"ASV1128",0,0,0,0,0,1,0
"ASV1129",1,1,1,1,1,0,1
"ASV1130",1,0,0,0,0,0,0
"ASV1131",0,0,0,0,0,0,1
"ASV1132",1,1,1,1,0,1,1
"ASV1134",1,1,1,1,1,1,1
"ASV1135",0,0,0,0,0,0,1
"ASV1136",0,0,0,0,0,0,1
"ASV1137",0,0,0,0,0,0,1
"ASV1138",0,1,0,0,0,0,0
"ASV114",0,0,0,0,1,0,0
"ASV1141",1,1,1,1,1,1,1
"ASV1142",0,1,1,0,1,1,1
"ASV1143",1,1,1,1,1,1,0
"ASV1144",1,0,1,1,0,0,1
"ASV1145",0,0,0,0,1,0,0
"ASV1148",0,0,1,0,0,0,0
"ASV1149",0,1,0,0,1,1,0
"ASV1151",1,1,1,1,0,1,1
"ASV1152",0,0,0,0,0,0,1
"ASV1153",1,1,1,1,1,1,0
"ASV1154",0,0,1,0,0,0,0
"ASV1156",0,0,0,0,0,1,0
"ASV1157",1,1,1,1,1,1,1
"ASV1158",1,1,0,0,0,0,1
"ASV1159",0,0,0,0,0,0,1
"ASV116",0,0,0,0,0,0,1
"ASV1160",1,1,1,1,1,1,1
"ASV1161",0,1,1,0,1,1,0
"ASV1162",1,0,1,0,0,1,0
"ASV1163",0,0,0,0,0,0,1
"ASV1164",0,1,1,0,0,1,1
"ASV1165",1,1,0,1,0,0,0
"ASV1166",1,0,1,1,1,1,1
"ASV1167",0,0,1,0,1,1,0
"ASV1168",0,1,0,0,0,0,0
"ASV1169",1,1,1,1,1,1,1
"ASV1170",1,1,1,1,1,0,1
"ASV1171",0,0,0,0,0,1,0
"ASV1172",1,1,1,1,1,1,1
"ASV1173",1,1,1,1,1,1,1
"ASV1174",1,0,1,0,0,0,1
"ASV1175",1,0,0,0,0,0,0
"ASV1176",0,0,1,0,0,0,0
"ASV1177",0,0,0,1,0,0,0
"ASV1178",0,0,0,0,0,0,1
"ASV1179",0,0,0,0,0,0,1
"ASV1181",0,0,0,0,1,0,1
"ASV1182",0,0,0,0,1,0,0
"ASV1184",0,0,0,0,1,0,0
"ASV1188",0,0,0,1,0,0,0
"ASV1191",0,0,0,0,0,0,1
"ASV1192",0,0,0,0,1,0,0
"ASV1195",0,0,0,0,0,1,0
"ASV1198",1,0,0,0,0,0,0
"ASV1202",0,1,1,1,1,1,1
"ASV1206",0,1,0,0,0,0,0
"ASV1207",0,1,0,0,0,0,0
"ASV121",1,0,1,0,0,0,1
"ASV1212",1,1,0,1,1,1,1
"ASV1218",0,0,0,0,0,1,0
"ASV122",1,0,0,1,1,1,1
"ASV1220",0,0,0,0,1,1,1
"ASV1222",0,1,0,0,1,0,1
"ASV1226",0,1,0,0,0,0,1
"ASV1227",1,0,1,1,1,1,1
