"","A. koa","C. trigynum","Grass","M. polymorpha","M. lessertiana","R. hawaiensis","Soil"
"ASV10",0,1,0,0,0,0,0
"ASV100",1,0,0,0,0,0,0
"ASV1003",0,0,0,0,0,0,1
"ASV1004",0,0,0,0,0,0,1
"ASV1007",0,0,0,0,1,0,1
"ASV1008",0,0,0,0,0,0,1
"ASV1013",0,0,0,0,1,0,0
"ASV102",1,1,1,0,0,1,1
"ASV1021",0,0,0,0,0,1,0
"ASV1029",0,0,1,0,0,0,0
"ASV103",1,0,0,0,0,0,0
"ASV1032",0,0,0,0,1,0,0
"ASV1039",0,0,0,0,0,0,1
"ASV1040",0,0,0,0,0,0,1
"ASV1041",1,0,1,0,0,0,1
"ASV1044",0,0,0,0,0,0,1
"ASV1045",0,0,0,0,0,0,1
"ASV1046",0,0,1,1,0,0,1
"ASV1047",0,0,1,0,0,0,1
"ASV1049",0,0,0,1,0,0,0
"ASV1050",0,0,1,0,0,0,0
"ASV1051",0,0,1,0,0,0,0
"ASV106",0,0,0,1,0,0,0
"ASV1060",0,0,0,0,0,0,1
"ASV1062",0,0,0,0,0,0,1
"ASV1063",1,0,1,0,1,0,1
"ASV1066",0,0,0,0,0,1,0
"ASV107",0,0,0,0,0,0,1
"ASV1071",0,0,0,0,0,1,1
"ASV1073",0,0,0,0,0,1,0
"ASV1076",1,0,0,0,0,0,0
"ASV1077",1,1,1,1,1,1,1
"ASV1078",0,0,0,0,1,0,0
"ASV108",0,0,0,0,0,0,1
"ASV1080",0,0,0,0,1,0,0
"ASV1083",0,0,0,0,1,0,0
"ASV1084",0,0,0,0,0,0,1
"ASV1085",0,0,0,1,0,0,0
"ASV109",1,1,0,0,0,0,0
"ASV1093",1,1,1,1,1,1,1
"ASV1094",0,0,1,1,0,1,0
"ASV1095",1,0,1,1,0,0,1
"ASV1096",0,0,0,0,0,0,1
"ASV11",0,0,0,0,1,0,0
"ASV1101",1,0,0,0,0,0,0
"ASV1103",1,0,0,0,0,0,0
"ASV1105",0,0,0,0,0,0,1
"ASV1107",0,0,0,1,0,0,0
"ASV1108",1,0,1,0,0,0,1
"ASV111",0,0,0,0,0,0,1
"ASV1110",1,0,0,0,0,1,0
"ASV1113",1,1,0,0,1,1,1
"ASV1114",1,1,1,1,1,1,1
"ASV1115",0,0,0,1,0,0,0
"ASV112",1,1,0,1,0,0,1
"ASV1120",0,0,0,0,1,0,0
"ASV1121",0,0,0,0,0,0,1
"ASV1122",1,0,0,0,0,0,1
"ASV1123",0,0,0,0,0,0,1
"ASV1124",0,0,0,1,0,0,0
"ASV1126",1,1,1,1,1,1,1
"ASV1128",0,0,0,0,0,1,1
"ASV1129",0,0,0,0,1,0,0
"ASV113",0,0,0,0,1,0,1
"ASV1130",0,0,0,0,1,0,0
"ASV1132",1,0,1,1,1,1,1
"ASV1134",0,1,1,0,1,1,1
"ASV1135",0,1,0,0,0,0,0
"ASV1136",1,1,1,1,1,1,1
"ASV1138",0,0,0,1,0,0,0
"ASV1139",0,0,0,0,0,0,1
"ASV1140",1,0,1,1,0,0,0
"ASV1141",1,0,1,0,0,1,1
"ASV1142",1,0,1,0,0,1,0
"ASV1143",0,0,0,0,0,1,0
"ASV1144",1,0,1,0,0,1,1
"ASV1145",1,0,1,0,0,1,1
"ASV1146",1,0,1,0,0,1,0
"ASV1148",1,0,0,0,0,0,0
"ASV1149",1,1,1,0,1,0,0
"ASV115",0,0,0,0,0,0,1
"ASV1152",0,0,0,0,1,0,1
"ASV1154",0,0,1,0,0,1,1
"ASV1155",0,0,0,0,1,0,0
"ASV1157",0,0,0,0,0,0,1
"ASV1158",0,0,0,0,0,0,1
"ASV116",0,0,0,1,0,0,1
"ASV1160",0,0,0,0,0,0,1
"ASV1162",0,0,0,0,0,1,0
"ASV1163",0,0,1,0,0,0,0
"ASV1165",1,0,1,1,1,0,1
"ASV1168",0,0,0,1,1,0,1
"ASV1169",0,0,0,0,1,0,0
"ASV117",1,0,0,1,0,0,1
"ASV1170",1,1,1,1,1,1,1
"ASV1177",1,0,1,0,0,1,1
"ASV1180",1,0,0,1,0,1,1
"ASV1182",0,0,0,0,0,0,1
"ASV1183",0,0,0,0,0,1,0
"ASV1184",0,0,0,1,0,0,0
"ASV1186",0,0,0,0,0,0,1
"ASV1187",1,0,0,0,0,0,1
"ASV1188",0,0,0,0,0,0,1
"ASV1189",0,0,1,0,0,0,0
"ASV119",0,0,0,0,0,1,0
"ASV1191",0,0,0,0,0,0,1
"ASV1193",1,0,0,0,0,1,1
"ASV1194",1,0,1,0,0,0,1
"ASV1195",0,0,0,0,0,0,1
"ASV1196",1,0,0,0,1,0,1
"ASV1197",0,0,0,0,1,0,0
"ASV1198",0,0,1,0,0,0,0
"ASV12",0,1,0,0,0,0,0
"ASV1200",1,0,0,0,0,0,0
"ASV1202",1,0,0,0,0,1,1
"ASV1203",1,0,0,0,0,0,0
"ASV1205",1,0,1,0,0,1,1
"ASV1206",0,0,0,0,0,0,1
"ASV1208",1,0,1,0,1,1,1
"ASV1209",1,0,1,0,0,1,1
"ASV121",0,0,0,0,0,1,0
"ASV1210",1,0,1,0,0,0,1
"ASV1211",0,0,0,0,0,0,1
"ASV1214",1,0,0,0,0,0,1
"ASV1215",0,0,0,0,0,0,1
"ASV1216",0,0,1,1,1,1,1
"ASV1217",0,0,1,0,1,1,1
"ASV1218",0,0,0,0,0,0,1
"ASV122",0,0,0,0,0,0,1
"ASV1220",0,0,0,0,0,1,0
"ASV1221",1,0,1,0,1,0,0
"ASV1222",1,0,0,0,0,0,1
"ASV1223",0,1,0,0,0,0,0
"ASV1227",0,0,0,0,1,0,0
"ASV123",0,0,0,0,0,0,1
"ASV1236",0,0,0,0,1,0,0
"ASV1237",0,0,1,0,0,0,0
"ASV1238",1,0,0,0,0,0,0
"ASV1239",1,1,1,1,1,1,1
"ASV124",0,0,0,0,1,0,1
"ASV1240",1,0,0,0,0,0,0
"ASV1241",0,0,1,0,0,0,0
"ASV1242",1,0,0,0,0,0,0
"ASV1245",0,0,1,0,0,0,0
"ASV1246",0,0,0,0,0,1,0
"ASV1247",0,1,0,0,0,0,0
"ASV1248",0,0,0,0,0,1,0
"ASV1249",1,1,1,1,1,1,1
"ASV125",0,0,0,0,1,0,1
"ASV1250",0,1,0,0,0,0,0
"ASV1254",0,0,1,0,0,0,0
"ASV1257",0,0,0,1,1,0,1
"ASV1258",0,0,0,0,1,0,0
"ASV1259",0,0,1,1,1,0,1
"ASV126",1,0,0,1,0,1,1
"ASV1260",0,1,0,0,0,0,0
"ASV1261",0,0,0,0,1,0,0
"ASV1263",0,0,0,0,0,0,1
"ASV1264",1,0,0,0,0,0,1
"ASV1265",0,0,0,0,1,0,1
"ASV1268",0,0,0,0,1,0,0
"ASV1270",0,0,0,0,0,0,1
"ASV1271",1,1,0,0,1,1,1
"ASV1272",0,0,0,0,0,0,1
"ASV1273",0,0,0,1,0,0,0
"ASV1275",0,0,0,1,0,0,0
"ASV128",0,0,0,1,0,0,1
"ASV1284",0,0,0,0,1,0,0
"ASV1286",1,0,1,0,0,1,1
"ASV1287",0,0,0,0,0,0,1
"ASV129",0,1,0,0,0,0,0
"ASV1291",0,0,0,0,0,0,1
"ASV1292",0,0,0,0,0,0,1
"ASV1293",0,0,0,0,1,0,0
"ASV1294",0,0,0,0,0,0,1
"ASV1295",0,0,0,0,0,0,1
"ASV1297",0,0,0,0,0,0,1
"ASV1298",0,0,0,0,0,0,1
"ASV1299",0,0,0,0,0,0,1
"ASV130",0,0,0,0,0,0,1
"ASV1300",0,0,0,0,0,0,1
"ASV1302",0,0,1,0,0,0,0
"ASV1303",0,0,1,0,0,0,1
"ASV1304",0,0,0,0,1,0,0
"ASV1306",0,0,0,0,0,0,1
"ASV1315",0,0,0,1,0,0,0
"ASV1317",1,0,0,0,0,0,0
"ASV1319",0,0,0,0,1,0,0
"ASV132",0,1,1,1,0,0,1
"ASV1320",1,0,0,0,0,0,0
"ASV1321",1,0,0,0,0,0,0
"ASV1322",1,0,0,0,0,1,1
"ASV1323",0,0,0,0,1,0,0
"ASV1324",0,0,0,0,1,0,0
"ASV1325",1,0,1,0,0,0,1
"ASV1326",0,0,0,0,1,0,0
"ASV1327",1,0,1,0,1,0,1
"ASV1328",0,0,0,1,0,0,0
"ASV133",0,0,0,0,0,0,1
"ASV1331",1,1,1,1,0,1,1
"ASV1333",0,0,0,0,1,0,0
"ASV1334",0,0,0,0,0,0,1
"ASV1335",1,0,0,0,0,0,0
"ASV1339",0,0,0,0,1,0,0
"ASV134",0,0,0,0,1,0,0
"ASV1345",0,0,0,0,1,0,0
"ASV1348",0,0,0,0,0,0,1
"ASV1354",1,0,0,0,0,1,0
"ASV1355",0,0,0,0,1,0,0
