"","A. koa","C. trigynum","Grass","M. polymorpha","M. lessertiana","R. hawaiensis","Soil"
"ASV1",0,1,0,0,0,0,0
"ASV10",0,1,0,0,0,0,0
"ASV1001",0,0,0,0,1,0,0
"ASV1004",0,0,0,0,1,0,0
"ASV1007",0,0,0,0,0,0,1
"ASV1008",0,0,0,0,0,0,1
"ASV1009",1,0,1,0,0,0,1
"ASV101",1,1,1,0,0,1,1
"ASV1012",0,0,0,0,0,0,1
"ASV1013",0,0,0,0,0,0,1
"ASV1014",0,0,1,1,0,0,1
"ASV1015",0,0,1,0,0,0,1
"ASV1016",0,0,0,0,1,0,0
"ASV1017",0,0,0,1,0,0,0
"ASV1018",0,0,1,0,0,0,0
"ASV1019",0,0,1,0,0,0,0
"ASV102",1,0,0,0,0,0,0
"ASV1027",0,0,0,0,0,0,1
"ASV1028",0,0,0,0,0,0,1
"ASV1029",1,0,1,0,1,0,1
"ASV1032",0,0,0,0,0,1,0
"ASV1033",0,0,0,0,1,0,0
"ASV1037",0,0,0,0,0,1,1
"ASV1038",1,0,0,0,0,0,0
"ASV1039",0,0,0,0,0,1,0
"ASV104",0,0,0,1,0,0,0
"ASV1042",1,0,0,0,0,0,0
"ASV1043",1,1,1,1,1,1,1
"ASV1044",0,0,0,0,1,0,0
"ASV1046",0,0,0,0,1,0,0
"ASV1048",0,0,0,0,0,1,0
"ASV1049",0,0,0,0,1,0,0
"ASV105",0,0,0,0,0,0,1
"ASV1050",0,0,0,0,0,0,1
"ASV1051",0,0,0,1,0,0,0
"ASV1055",0,0,0,0,1,0,0
"ASV1057",0,0,0,0,1,0,0
"ASV1058",1,1,1,1,1,1,1
"ASV1059",0,0,1,1,0,1,0
"ASV106",1,1,0,0,0,0,0
"ASV1060",1,0,1,1,0,0,1
"ASV1061",0,0,0,0,0,0,1
"ASV1066",1,0,0,0,0,0,0
"ASV1067",1,0,0,0,0,0,0
"ASV1069",0,0,0,0,0,0,1
"ASV107",0,0,0,0,0,0,1
"ASV1071",0,0,0,1,0,0,0
"ASV1072",1,0,1,0,0,0,1
"ASV1074",1,0,0,0,0,1,0
"ASV1075",0,0,0,0,1,0,0
"ASV1077",1,1,0,0,1,1,1
"ASV1078",1,1,1,1,1,1,1
"ASV1079",0,0,0,1,0,0,0
"ASV108",1,1,0,1,0,0,1
"ASV1084",1,0,0,0,1,0,0
"ASV1085",0,0,0,0,0,0,1
"ASV1086",1,0,0,0,0,0,1
"ASV1087",0,0,0,0,0,0,1
"ASV1088",0,0,0,1,0,0,0
"ASV109",0,0,0,0,1,0,1
"ASV1090",1,1,1,1,1,1,1
"ASV1091",0,0,0,0,1,0,0
"ASV1092",0,0,0,0,0,1,1
"ASV1093",0,0,0,0,1,0,0
"ASV1094",0,0,0,0,1,0,0
"ASV1096",1,0,1,1,1,1,1
