,sample_count,asv_abundance,soil_host_core_color,unique_core_color,shared_core_color
ASV1,1,4,black,black,black
ASV2,1,8,black,black,black
ASV3,1,6,black,black,black
ASV4,1,17,black,black,black
ASV7,1,5,black,black,black
ASV8,1,10,black,black,black
ASV9,1,7,black,black,black
ASV10,1,11,black,black,black
ASV11,1,4,black,black,black
ASV12,1,5,black,black,black
ASV14,6,114,black,black,black
ASV15,1,49,black,black,black
ASV16,1,22,black,black,black
ASV17,1,6,black,black,black
ASV18,1,7,black,black,black
ASV19,1,13,black,black,black
ASV20,1,3,black,black,black
ASV21,1,5,black,black,black
ASV22,1,8,black,black,black
ASV23,1,9,black,black,black
ASV24,1,6,black,black,black
ASV25,1,6,black,black,black
ASV26,1,5,black,black,black
ASV27,33,3667,darkgoldenrod1,black,black
ASV28,1,8,black,black,black
ASV29,13,1011,black,black,black
ASV30,1,3,black,black,black
ASV31,1,3,black,black,black
ASV33,1,3,black,black,black
ASV34,1,3,black,black,black
ASV35,1,3,black,black,black
ASV36,1,14,black,black,black
ASV37,667,29573,darkgoldenrod1,black,blue
ASV38,1,38,black,black,black
ASV39,1,8,black,black,black
ASV41,1,6,black,black,black
ASV42,1,182,black,black,black
ASV43,1,43,black,black,black
ASV44,13,61,black,slateblue1,black
ASV45,1,15,black,black,black
ASV47,1,4,black,black,black
ASV49,1,3,black,black,black
ASV50,1,7,black,black,black
ASV51,1,5,black,black,black
ASV52,1,3,black,black,black
ASV54,1,5,black,black,black
ASV55,1,8,black,black,black
ASV56,1,3,black,black,black
ASV57,1,2,black,black,black
ASV58,1,3,black,black,black
ASV59,1,3,black,black,black
ASV60,1,3,black,black,black
ASV61,1,3,black,black,black
ASV62,1,27,black,black,black
ASV64,1,10,black,black,black
ASV65,2,28,black,black,black
ASV66,1,11,black,black,black
ASV67,1,7,black,black,black
ASV68,1,9,black,slateblue1,black
ASV69,1,6,black,black,black
ASV70,1,17,black,black,black
ASV71,1,9,black,slateblue1,black
ASV72,5,112,darkgoldenrod1,slateblue1,black
ASV73,1,10,black,slateblue1,black
ASV74,4,32,darkgoldenrod1,slateblue1,black
ASV75,1,12,black,black,black
ASV76,1,21,black,slateblue1,black
ASV77,1,14,black,black,black
ASV78,13,149,darkgoldenrod1,black,black
ASV79,2,15,black,black,black
ASV80,1,6,black,black,black
ASV81,1,8,black,black,black
ASV82,1,6,black,black,black
ASV83,12,490,darkgoldenrod1,slateblue1,black
ASV85,13,230,black,slateblue1,black
ASV86,2,39,black,slateblue1,black
