"","A. koa","C. trigynum","Grass","M. polymorpha","M. lessertiana","R. hawaiensis","Soil"
"Acaulosporaceae",0.0701,0.2264,0.1683,0.4584,0.0815,0.3827,0.9153
"Ambisporaceae",0.7448,0.6034,0.2353,0.7782,0.1943,0.5281,0.6837
"Archaeosporaceae",0.3098,0.4783,0.1836,0.2288,0.8715,0.4159,0.3672
"Claroideoglomeraceae",0.7705,NA,0.6993,0,0.2454,6e-04,0.1193
"Diversisporaceae",NA,NA,NA,NA,NA,NA,0.9342
"Geosiphonaceae",NA,NA,NA,NA,NA,NA,NA
"Gigasporaceae",NA,0.2562,0.4485,0.728,0.1506,NA,0.636
"Glomeraceae",0.1868,0.9412,0.0087,0.9631,0.8496,0.7178,0.2765
"Glomeromycotina",0.2889,0.5545,0.3881,0.7595,0.2255,0.9337,0.0103
"Paraglomeraceae",0.2951,0.2264,0.1683,0.2835,0.5893,0.7559,0.2975
