"","Remnant A. koa","Restored A. koa","P","Remnant C. trigynum","Restored C. trigynum","P","Remnant Grass","Restored Grass","P","Remnant M. lessertiana","Restored M. lessertiana","P","Remnant M. polymorpha","Restored M. polymorpha","P","Remnant R. hawaiensis","Restored R. hawaiensis","P","Remnant Soil","Restored Soil","P"
"Acaulosporaceae",0.032,0.011,0.0907,0.05,0.007,0.109,0.057,0.134,0.3379,0.223,0.08,0.0653,0.182,0.009,0.3504,0.005,0.036,0.2,0.147,0.232,0.9101
"Ambisporaceae",0.012,0.019,0.717,0.036,0.042,0.7447,0.095,0.058,0.2384,0.105,0.392,0.0761,0.01,0.007,0.7804,0.002,0.013,NA,0.135,0.065,0.6442
"Archaeosporaceae",0.144,0.102,0.3357,0.053,0.291,0.2477,0.117,0.348,0.1667,0.879,0.585,0.8816,0.201,0.08,0.2106,0.182,0.092,0.4226,0.519,0.524,0.4004
"Claroideoglomeraceae",0.007,0.002,NA,0,0.055,NA,0.019,0.035,NA,0.164,0.34,0.2636,0.009,0.005,NA,0.032,0.022,NA,0.169,0.303,0.4451
"Diversisporaceae",0.015,0,NA,0,0,NA,0,0.001,NA,0.053,0,NA,0,0,NA,0,0.018,NA,0.041,0.071,0.9233
"Geosiphonaceae",0,0,NA,0,0.001,NA,0.001,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Gigasporaceae",0.001,0,NA,0.004,0.006,NA,0.002,0.007,NA,0.136,0.043,0.1374,0.005,0.012,0.6708,0,0.019,NA,0.102,0.144,0.6318
"Glomeraceae",0.472,0.145,0.2266,1.315,0.704,0.3405,1.19,0.704,0.4392,3.94,3.681,0.8496,0.292,0.198,0.9616,0.324,0.361,0.7226,0.715,0.921,0.2784
"Glomeromycotina",0.033,0.007,0.2795,0.113,0.161,0.9387,0.19,0.07,0.395,1.393,0.424,0.2333,0.017,0.068,0.6103,0.046,0.055,0.9347,1.718,0.457,0.0077
"Paraglomeraceae",0.034,0.146,0.4398,0.056,0.063,0.6319,0.172,0.032,0.2341,0.601,0.301,0.543,0.21,0.025,0.2685,0.026,0.027,0.757,0.222,0.162,0.3029
