"","Remnant.A..koa","Restored.A..koa","Adj. P","Remnant.C..trigynum","Restored.C..trigynum","Adj. P","Remnant.Grass","Restored.Grass","Adj. P","Remnant.M..lessertiana","Restored.M..lessertiana","Adj. P","Remnant.M..polymorpha","Restored.M..polymorpha","Adj. P","Remnant.R..hawaiensis","Restored.R..hawaiensis","Adj. P","Remnant.Soil","Restored.Soil","Adj. P"
"Acaulosporaceae",0.032,0.011,0.5035,0.05,0.007,0.6538,0.057,0.134,0.4392,0.223,0.08,0.3044,0.182,0.009,0.8175,0.005,0.036,0.9347,0.147,0.232,0.9233
"Ambisporaceae",0.012,0.019,0.717,0.036,0.042,0.8937,0.095,0.058,0.4392,0.105,0.392,0.3044,0.01,0.007,0.9105,0.002,0.013,NA,0.135,0.065,0.8283
"Archaeosporaceae",0.144,0.102,0.5035,0.053,0.291,0.681,0.117,0.348,0.4392,0.879,0.585,0.8816,0.201,0.08,0.8175,0.182,0.092,0.9347,0.519,0.524,0.8011
"Claroideoglomeraceae",0.007,0.002,NA,0,0.055,NA,0.019,0.035,NA,0.164,0.34,0.4218,0.009,0.005,NA,0.032,0.022,NA,0.169,0.303,0.8011
"Diversisporaceae",0.015,0,NA,0,0,NA,0,0.001,NA,0.053,0,NA,0,0,NA,0,0.018,NA,0.041,0.071,0.9233
"Geosiphonaceae",0,0,NA,0,0.001,NA,0.001,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Gigasporaceae",0.001,0,NA,0.004,0.006,NA,0.002,0.007,NA,0.136,0.043,0.3665,0.005,0.012,0.9105,0,0.019,NA,0.102,0.144,0.8283
"Glomeraceae",0.472,0.145,0.5035,1.315,0.704,0.681,1.19,0.704,0.4392,3.94,3.681,0.8816,0.292,0.198,0.9616,0.324,0.361,0.9347,0.715,0.921,0.8011
"Glomeromycotina",0.033,0.007,0.5035,0.113,0.161,0.9387,0.19,0.07,0.4392,1.393,0.424,0.4218,0.017,0.068,0.9105,0.046,0.055,0.9347,1.718,0.457,0.0697
"Paraglomeraceae",0.034,0.146,0.5277,0.056,0.063,0.8937,0.172,0.032,0.4392,0.601,0.301,0.724,0.21,0.025,0.8175,0.026,0.027,0.9347,0.222,0.162,0.8011
