"","Remnant A. koa","Restored A. koa","Remnant C. trigynum","Restored C. trigynum","Remnant Grass","Restored Grass","Remnant M. lessertiana","Restored M. lessertiana","Remnant M. polymorpha","Restored M. polymorpha","Remnant R. hawaiensis","Restored R. hawaiensis","Remnant Soil","Restored Soil"
"Acaulosporaceae",0.032,0.011,0.05,0.007,0.057,0.134,0.223,0.08,0.182,0.009,0.005,0.036,0.147,0.232
"Ambisporaceae",0.012,0.019,0.036,0.042,0.095,0.058,0.105,0.392,0.01,0.007,0.002,0.013,0.135,0.065
"Archaeosporaceae",0.144,0.102,0.053,0.291,0.117,0.348,0.879,0.585,0.201,0.08,0.182,0.092,0.519,0.524
"Claroideoglomeraceae",0.007,0.002,0,0.055,0.019,0.035,0.164,0.34,0.009,0.005,0.032,0.022,0.169,0.303
"Diversisporaceae",0.015,0,0,0,0,0.001,0.053,0,0,0,0,0.018,0.041,0.071
"Geosiphonaceae",0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0
"Gigasporaceae",0.001,0,0.004,0.006,0.002,0.007,0.136,0.043,0.005,0.012,0,0.019,0.102,0.144
"Glomeraceae",0.472,0.145,1.315,0.704,1.19,0.704,3.94,3.681,0.292,0.198,0.324,0.361,0.715,0.921
"Glomeromycotina",0.033,0.007,0.113,0.161,0.19,0.07,1.393,0.424,0.017,0.068,0.046,0.055,1.718,0.457
"Paraglomeraceae",0.034,0.146,0.056,0.063,0.172,0.032,0.601,0.301,0.21,0.025,0.026,0.027,0.222,0.162
