"","A. koa","C. trigynum","Grass","M. polymorpha","M. lessertiana","R. hawaiensis","Soil"
"Acaulosporaceae",0.504,0.654,0.439,0.818,0.304,0.935,0.923
"Ambisporaceae",0.717,0.894,0.439,0.91,0.304,NA,0.828
"Archaeosporaceae",0.504,0.681,0.439,0.818,0.882,0.935,0.801
"Claroideoglomeraceae",NA,NA,NA,NA,0.422,NA,0.801
"Diversisporaceae",NA,NA,NA,NA,NA,NA,0.923
"Geosiphonaceae",NA,NA,NA,NA,NA,NA,NA
"Gigasporaceae",NA,NA,NA,0.91,0.367,NA,0.828
"Glomeraceae",0.504,0.681,0.439,0.962,0.882,0.935,0.801
"Glomeromycotina",0.504,0.939,0.439,0.91,0.422,0.935,0.07
"Paraglomeraceae",0.528,0.894,0.439,0.818,0.724,0.935,0.801
